brand,model,screen_size,cpu,ram,OS,special_features,graphics,graphics_coprocessor,cpu_speed,rating,price,harddisk_numeric
dell,inspiron,15.6,Celeron,16.0,windows 11 home,anti glare coating,integrated,,,4.1,439.0,1024.0
acer,cp314-1h-p1q5,14.0,Pentium,8.0,chrome os,,integrated,intel uhd graphics,,4.3,372.66,128.0
msi,katana 15 b13vgk-484us,15.6,i7,16.0,windows 11 home,anti glare coating,rtx 4070,nvidia geforce rtx 4070,,4.3,1429.0,1024.0
lenovo,ideapad 3,14.0,i3,8.0,windows 11 s,"dolby,narrow bezel",integrated,,,4.5,281.69,128.0
asus,asus vivobook go 15,15.6,Celeron,4.0,windows 11 s,thin-bezel,integrated,,,4.1,236.47,64.0
hp,hp laptop 15-ef2024nr,15.0,Ryzen 3,8.0,windows 11 home,,integrated,,,4.5,337.96,256.0
asus,ux5304va-xs76t,13.3,i7,32.0,windows 11 pro,dolby,integrated,,,4.3,1399.99,1024.0
asus,rog strix g15,15.6,Ryzen 7,16.0,windows 11 home,anti glare coating,dedicated,,,4.6,1044.77,1024.0
lenovo,ideapad 3,15.6,Celeron,8.0,chrome os,narrow,integrated,,,4.2,294.29,64.0
acer,"2023 newest acer 15.6"" chromebook",15.6,Celeron,4.0,chrome os,anti-glare,integrated,,,4.2,224.0,64.0
asus,chromebook c425 clamshell,14.0,Celeron,4.0,chrome os,"anti-glare,ultra-narrow bezel",integrated,,,4.3,225.82,128.0
lenovo,flex 5,14.0,Ryzen 5,16.0,windows 11 home,,integrated,amd radeon r5,2.1,4.2,539.99,256.0
acer,a115-32-c96u,15.6,Celeron,4.0,windows 11 s,,integrated,intel uhd graphics,,4.3,229.99,128.0
asus,rog flow z13,13.4,i9,16.0,windows 11 home,stylus,dedicated,,,4.4,1749.99,1024.0
hp,hp,15.6,i3,16.0,windows 11 home,,integrated,intel iris xe graphics,,4.5,465.0,1024.0
msi,stealth gs66 12ugs-025,15.6,i9,32.0,windows 11 home,,dedicated,nvidia geforce rtx 3070,1.8,1.0,1699.0,1024.0
asus,rog flow z13,13.4,i9,32.0,windows 11 pro,,dedicated,nvidia geforce rtx 4070,,4.2,2499.99,1024.0
lenovo,chromebook,11.6,MediaTek,4.0,chrome os,anti-glare,integrated,,,4.3,114.74,32.0
microsoft,surface laptop,15.0,i7,16.0,windows 11 home,"backlit keyboard, support stylus",integrated,,,4.4,1084.66,512.0
asus,tuf dash 15 (2022),15.6,i7,16.0,windows 11 home,backlit keyboard,rtx 3060,,,4.5,1150.99,512.0
asus,tuf gaming a15,15.6,Ryzen 7,16.0,windows 11 home,,dedicated,nvidia geforce rtx 4050,,4.3,1149.0,1024.0
hp,14-dq0070nr,14.0,Celeron,4.0,windows 11 s,micro-edge bezel,integrated,,,4.3,199.99,64.0
asus,rog strix scar 17,17.3,Ryzen 9,32.0,windows 11 pro,,dedicated,nvidia geforce rtx 4080,,4.1,2619.99,1024.0
acer,a3sp14-31pt-37nv,14.0,i3,8.0,windows 11 s,pen,integrated,,,4.5,426.64,128.0
asus,asus tuf gaming f1,17.3,i5,8.0,windows 11 home,numeric keypad,rtx 3050,,,4.5,783.95,512.0
lenovo,ideapad flex 5i chromebook,13.3,i3,8.0,chrome os,anti glare coating,integrated,,,4.4,479.0,128.0
dell,dell latitude,14.0,i7,16.0,windows 10 pro,trackpoint,integrated,,,4.0,399.0,512.0
hp,chromebook 11 g9 ee,11.6,Celeron,4.0,chrome os,anti-glare screen,uhd graphics,intel uhd graphics,2.6,5.0,271.99,64.0
acer,swift go 14,14.0,i7,16.0,windows 11 home,"fingerprint reader, backlit keyboard",integrated,,,4.3,762.19,512.0
asus,vivobook s 15,15.6,i9,16.0,windows 11 home,,integrated,intel iris,,3.7,989.99,1024.0
apple,macbook pro,16.2,arm 7100,32.0,macos 12 monterey,,integrated,m1 pro,,4.7,1899.0,512.0
acer,aspire 5,15.6,Ryzen 5,8.0,windows 11,backlit keyboard,integrated,,,4.4,488.94,256.0
apple,"2022 apple macbook air m2, 16gb ram, 512gb storage - midnight (z160000b1)",13.6,apple m1,16.0,macos 12 monterey,fingerprint reader,integrated,apple integrated graphics,,4.8,1459.94,512.0
samsung,np754xfg-kb1us,15.6,i7,16.0,windows 11 pro,,integrated,intel iris xe graphics,,4.8,1099.99,16.0
asus,zenbook 15,15.6,Ryzen 7,32.0,windows 11 home,dolby,integrated,,,4.3,1299.0,1024.0
apple,macbook pro,13.0,apple m1,16.0,macos 12 monterey,,integrated,,3.4,4.7,1457.99,256.0
hp,hp 15 scarlet red,15.6,Celeron,16.0,windows 11 home,,integrated,intel uhd graphics,,4.3,469.0,1024.0
asus,asus vivobook l203,11.6,Celeron,4.0,windows 10 s,,integrated,intel uhd graphics 600,,4.2,134.9,64.0
gigabyte,g5 kf-e3us333sh,15.6,i5,8.0,windows 11 home,,dedicated,nvidia geforce rtx 4060,,4.0,879.99,512.0
asus,vivobook 15x,15.6,Ryzen 7,16.0,windows 11 home,,integrated,amd radeon graphics,,5.0,749.99,1024.0
acer,chromebook spin,11.6,Celeron,4.0,chrome os,,integrated,intel,,4.5,226.0,64.0
asus,zenbook pro 14 duo,14.5,i9,32.0,windows 11 home,,dedicated,nvidia geforce rtx 4060,,4.0,2399.99,1024.0
asus,asus chromebook c203xa,11.6,MediaTek,4.0,chrome os,spill resistant,integrated,,,4.3,184.62,32.0
msi,stealth 17studio a13vh-053us,17.3,i9,32.0,windows 11 home,anti glare coating,rtx 4080,nvidia geforce rtx 4080,,4.2,2793.89,1024.0
lenovo,ideapad,15.6,i3,8.0,windows 11 home,anti glare coating,intel uhd graphics,,,4.3,429.0,256.0
msi,msi gf63,15.6,i5,16.0,windows 10 home,backlit keyboard,dedicated,nvidia,,4.1,729.99,512.0
apple,"2022 apple macbook air m2, 16gb ram, 256gb storage - space gray (z15s000ct)",13.6,apple m1,16.0,macos 12 monterey,,integrated,,3.4,5.0,1255.94,256.0
hp,elitebook 840,14.0,i5,16.0,windows 10 pro,anti glare coating,integrated,,,4.0,1000.0,256.0
asus,proart studiobook 16,16.0,i9,32.0,windows 11 home,,dedicated,nvidia geforce rtx 4070,5.6,3.7,2499.99,1024.0
samsung,chromebook 4+,15.6,Celeron,4.0,chrome os,,integrated,,1.1,4.4,205.0,64.0
hp,"hp 14"" chromebook",14.0,i3,8.0,chrome os,high quality,integrated,,,3.9,265.99,128.0
acer,aspire 5,15.6,Ryzen 3,4.0,windows 11,"fingerprint reader, backlit keyboard",integrated,,,4.5,367.29,128.0
razer,razer blade 14,14.0,Ryzen 9,16.0,windows 11 home,,rtx 4070,nvidia geforce rtx 4070,,4.3,2699.99,1024.0
asus,vivobook 15,15.6,i3,8.0,windows 10 home,"backlit keyboard,fingerprint,nanoedge bezel",integrated,,,4.5,379.0,128.0
acer,ph16-71-74uu,16.0,i7,16.0,windows 11 home,"backlit keyboard, memory card slot",dedicated,,,4.5,1649.99,1024.0
asus,asus rog zephyrus duo 16,16.0,Ryzen 7,16.0,windows 11 home,anti glare coating,rtx 3060,,,4.3,1589.99,1000.0
asus,vivobook pro 15,15.6,Ryzen 9,32.0,windows 11 home,,dedicated,nvidia geforce rtx 4060,,4.6,1399.99,1024.0
dell,xps9310-7321wht-sus,13.4,i7,16.0,windows 11 home,"fingerprint reader, backlit keyboard",integrated,,,4.1,1229.99,512.0
dell,dell g15 5520,15.6,i7,16.0,windows 11 home,,dedicated,,,4.2,1129.99,512.0
asus,vivobook 14,14.0,i5,8.0,windows 11 home,,integrated,intel iris,,4.4,479.99,256.0
hp,hp chromebook,16.0,amd a series,4.0,chrome os,backlit keyboard,dedicated,,,4.3,94.98,32.0
asus,vivobook 16x,16.0,i9,32.0,windows 11 home,"fingerprint reader, hd audio, spill resistant, high definition audio, anti glare coating","integrated, dedicated",,,3.5,1699.99,1024.0
asus,vivobook pro 16,16.0,i9,16.0,windows 11 home,,dedicated,nvidia geforce rtx 4060,,4.0,1484.99,1024.0
dell,latitude 5000,14.0,i5,16.0,windows 11 pro,"anti-glare screen, water resistant",iris xe graphics,,,4.8,1666.4,512.0
asus,fx707zc-es53,17.3,i5,16.0,windows 11 home,,dedicated,nvidia geforce rtx 3050,4.5,3.5,873.0,1024.0
hp,hp 15,15.6,i5,12.0,windows 11 s,"touchscreen laptop, windows laptop, i5 laptop",integrated,,,4.4,503.58,256.0
microsoft,surface laptop go 2,12.45,i5,8.0,windows 11 home,fingerprint reader,integrated,,,4.4,529.0,256.0
lenovo,"lenovo 14"" laptop",14.0,i7,16.0,windows 11,"backlit keyboard,fingerprint reader",integrated,,,3.7,535.99,512.0
lenovo,l14,14.0,Pentium,4.0,windows 11 s,,integrated,intel uhd graphics 605,,4.0,191.87,128.0
apple,macbook pro,16.0,others,32.0,mac os,backlit keyboard,dedicated,,,3.0,3059.0,1024.0
samsung,np964xfg-kc1us,16.0,i7,32.0,windows 11 pro,,integrated,,2.2,4.0,1939.99,64.0
asus,asus chromebook cx1,15.6,Celeron,8.0,chrome os,,integrated,,2.4,4.1,247.05,64.0
acer,cp513-1h-s338,13.3,snapdragon,8.0,chrome os,backlit kb,integrated,,,4.4,424.46,64.0
razer,blade 16,16.0,i9,32.0,windows 11,,dedicated,,,3.8,3611.89,1024.0
hp,hp envy,15.0,Ryzen 5,32.0,windows 11,,integrated,amd radeon graphics,,4.3,685.0,1024.0
lg,16t90q-k.aag6u1,16.0,i5,16.0,windows 11 home,lightweight,intel xe,,,4.2,1284.93,512.0
hp,pavilion x360,14.0,i5,8.0,windows 10 home,backlit keyboard,integrated,,,4.5,570.0,256.0
hp,hp laptop 17-cn0025nr,17.3,i5,8.0,windows 11 home,"anti glare coating, memory card slot, numeric keypad",integrated,,,4.5,576.99,256.0
lenovo,thinkpad x1 carbon gen 11 laptop pc,14.0,i7,32.0,windows 11 pro,,integrated,intel iris,,5.0,1949.99,1024.0
lg,16z90rs-k.adw8u1,16.0,i7,32.0,windows 11 home,,integrated,,5,4.3,1757.57,1024.0
hp,"hp 17.3""",17.3,i3,16.0,windows 11,anti-glare,integrated,intel uhd graphics,,4.2,557.0,1024.0
msi,vector gp77 13vg-096us,17.3,i9,32.0,windows 11 pro,,dedicated,nvidia geforce rtx 4070,,,1999.99,1024.0
msi,katana 17 b13vfk-835us,17.3,i7,32.0,windows 11 home,,dedicated,nvidia geforce rtx 4060,2.4,,1399.0,1024.0
lenovo,thinkpad t480,14.0,i5,16.0,windows 10 pro,fingerprint reader,integrated,,,4.1,219.0,256.0
asus,proart studiobook 16,16.0,i9,32.0,windows 11 home,,dedicated,nvidia geforce rtx 4060,,2.5,2199.0,32.0
asus,zenbook pro 14 duo,14.5,i9,32.0,windows 11 home,,dedicated,nvidia geforce rtx 4050,,4.1,2299.99,1024.0
asus,vivobook 16,16.0,Ryzen 5,8.0,windows 11 home,fingerprint sensor,integrated,,,4.6,561.0,512.0
lenovo,"lenovo 14"" laptop",14.0,Pentium,4.0,windows 11,,integrated,intel,,4.2,181.99,256.0
msi,vector gp68hx 13vh-098us,16.0,i9,16.0,windows 11 home,,dedicated,nvidia geforce rtx 4080,,5.0,2091.05,1024.0
hp,chromebook 11a,11.6,MediaTek,4.0,chrome os,anti glare coating,integrated,mediatek,,4.4,160.0,256.0
asus,asus vivobook go 14,14.0,Celeron,4.0,windows 11 home s,,integrated,intel uhd graphics,,4.1,231.85,64.0
hp,hp pavilion,14.0,i5,8.0,windows 11,fingerprint reader,integrated,,,4.5,514.99,256.0
asus,asus zenbook pro duo 15,15.6,i9,32.0,windows 10 pro,backlit keyboard,rtx 3060,,,4.6,2849.0,1024.0
asus,asus br1100,11.6,Celeron,4.0,windows 10 pro,anti glare coating,integrated,,,4.1,279.99,64.0
lenovo,lenovo ideapad,15.6,i5,12.0,windows 11 home,fhd touch screen,integrated,,,4.3,561.99,256.0
lenovo,lenovo yoga 7i,16.0,i5,8.0,windows 11 home,backlit keyboard,integrated,,,4.1,682.0,256.0
dell,inspiron 14 5425,14.0,Ryzen 7,8.0,windows 11 pro,anti-glare,amd radeon graphics,,,4.1,542.95,512.0
lenovo,thinkpad,14.0,i7,16.0,windows 10 pro,"fingerprint reader, hd audio, spill resistant, high definition audio, anti glare coating",integrated,,,4.2,1249.0,512.0
samsung,galaxy chromebook,13.3,i5,8.0,chrome os,support stylus,integrated,,,4.2,643.0,256.0
acer,cb317-1h-c6rk,17.3,Celeron,4.0,chrome os,numeric keypad,integrated,,,3.5,328.67,128.0
acer,a514-56m-576d,14.0,i5,8.0,windows 11 home,backlit keyboard,integrated,,,,499.99,512.0
dell,inspiron 5620 laptop,16.0,i7,32.0,windows 11 pro,,integrated,intel integrated graphics,,,1020.33,1000.0
hp,17-cn0003dx,17.3,i3,32.0,windows 11,,integrated,intel,,4.0,619.99,1000.0
lenovo,e15,13.0,8032,8.0,windows 10 pro,anti-glare,integrated,,,4.5,799.0,256.0
dell,xps 13 9315,13.4,i7,32.0,windows 11 pro,"backlit kb,fingerprint",integrated,,,2.8,1126.85,1024.0
lenovo,82xq001gus,15.6,Ryzen 3,8.0,windows 11 home,,integrated,amd radeon 610m,2.4,5.0,499.0,256.0
lenovo,lenovo ideapad flex 5,14.0,Ryzen 5,16.0,windows 11,fingerprint reader,integrated,,,4.4,622.04,256.0
dell,latitude,15.6,i5,8.0,windows 11 pro,anti-glare screen,integrated,intel,,5.0,748.47,256.0
asus,asus zenbook pro duo 15,15.6,i7,16.0,Windows 11 Pro,nanoedge,rtx 3070ti,nvidia geforce rtx 3070,4.7,4.4,2499.99,1024.0
dell,xps 13 9320,13.4,i7,16.0,windows 11 pro,"backlit kb,fingerprint",integrated,,,5.0,1305.17,1024.0
razer,blade 15,15.6,i7,16.0,windows 11 home,anti glare coating,rtx 3070 ti,,,4.2,1659.68,1024.0
hp,hp notebook 15-dy1731ms,15.6,i3,8.0,windows 10,stereo speakers,integrated,,,4.5,377.0,128.0
lenovo,newest flagship lenovo chromebook,14.0,Cortex,4.0,chrome os,,integrated,integrated arm mali-g52 2ee mc2 gpu,,4.2,299.0,64.0
dell,latitude 5530,15.6,i5,32.0,windows 11 pro,,integrated,intel iris xe graphics,,5.0,939.99,1024.0
acer,an16-41-r5kc,16.0,Ryzen 9,16.0,windows 11 home,"backlit keyboard, memory card slot",dedicated,,,5.0,1649.99,1024.0
asus,asus laptop l210,11.6,Celeron,4.0,windows 11 s,,integrated,,2.8,4.0,252.54,64.0
hp,pavilion x360,14.0,i5,8.0,windows 11 home,fingerprint reader,integrated,,,4.6,499.99,256.0
lg,16z90q-r.aas8u1,16.0,i7,16.0,windows 11 home,,rtx2050,intel iris xe graphics,,4.5,1612.99,1024.0
samsung,samsung chromebook,12.2,Celeron,4.0,chrome os,pen,integrated,,,4.5,447.95,32.0
lenovo,ideapad,15.6,i3,20.0,windows 11 home,numeric keypad,integrated,,,4.4,487.0,1024.0
lenovo,2022,13.3,others,4.0,chrome os,anti glare coating,integrated,intel integrated graphics,,4.1,433.99,1024.0
hp,6m0z7ua#aba,15.6,i5,16.0,windows 11 home,,integrated,,2.4,4.3,520.0,512.0
lg,17z90r-k.aab8u1,17.0,i7,16.0,windows 11 home,anti-glare,integrated,,,4.0,1399.99,1024.0
dell,latitude,15.6,i7,16.0,windows 11 pro,information not available,integrated,,,5.0,1428.96,512.0
dell,alienware x15 r2 laptop,15.6,i7,16.0,windows 11 pro,,dedicated,nvidia geforce rtx 3060,,,1749.33,512.0
hp,hp pavilion x360,14.0,i5,8.0,windows 11 home,"fingerprint reader, backlit keyboard",integrated,,,4.2,608.0,512.0
asus,tuf gaming f15,15.6,i5,16.0,windows 11 home,,dedicated,,4.5,4.3,999.0,512.0
asus,vivobook,14.0,i3,8.0,windows 11,backlit keyboard,intel uhd graphics,,,4.4,357.5,256.0
msi,pulse gl66,15.6,i7,16.0,windows 11 home,anti glare coating,integrated,,,4.5,1465.8,512.0
lg,16z90rs-k.aaw7u1,16.0,i7,16.0,windows 11 home,,integrated,,5,2.9,1799.0,1024.0
dell,inspiron,15.6,i7,32.0,windows 11,"memory card slot, numeric keypad",integrated,,,,949.99,1000.0
hp,chromebook,14.0,Celeron,4.0,chrome os,stereo speakers,integrated,,,4.5,150.0,32.0
lg,14z90rs-k.adw9u1,14.0,i7,32.0,windows 11 home,,integrated,,5,4.2,1796.99,1024.0
msi,pulse 15 b13vgk-1262us,15.6,i7,32.0,windows 11 pro,,dedicated,nvidia geforce rtx 4070,,,1697.23,1024.0
dell,alienware m15 r5 ryzen edition laptop,15.6,Ryzen 7,16.0,windows 11 home,wifi & bluetooth,nvidia geforce rtx 3060,,,4.0,1497.99,512.0
asus,vivobook s 14 flip oled,14.0,Ryzen 7,16.0,windows 11 home,"hd audio, fingerprint reader, backlit keyboard, support stylus",integrated,,,4.1,1099.99,1024.0
hp,hp victus,15.6,Ryzen 5,16.0,windows 11 home,"144hz refresh rate, backlit keyboard",geforce rtx 2050,,,3.4,699.0,512.0
hp,hp,14.0,Celeron,4.0,chrome os,numeric keypad,integrated,,,4.1,239.0,64.0
microsoft,surface laptop 4,13.5,i7,16.0,windows 10 pro,backlit keyboard,integrated,intel iris xe graphics,,5.0,1198.99,512.0
dell,latitude 7000,13.3,i5,16.0,windows 11,"anti-reflection, anti-smudge, anti-glare screen",iris xe graphics,intel iris xe graphics,,4.6,1680.56,512.0
asus,asus,14.0,Celeron,4.0,windows 10,stereo speakers,integrated,,,4.2,129.99,64.0
acer,sfx14-51g-71y1,14.0,i7,16.0,windows 11 home,backlit keyboard,dedicated,,,4.2,886.37,512.0
samsung,xe530qda-kb1us,13.3,i3,16.0,chrome os,,integrated,intel uhd graphics,2.1,4.4,729.0,32.0
hp,elitebook 840 g3,14.0,athlon,8.0,windows 10 pro,speakers,integrated,,,4.0,159.99,256.0
hp,hp pavilion,15.6,Ryzen 7,32.0,windows 11,,amd radeon graphics,amd radeon graphics,,4.1,732.0,1024.0
lenovo,lenovo ideapad 3,15.6,Celeron,4.0,windows 10 home,hd,integrated,,,4.1,185.95,128.0
acer,cb314-1h-c884,14.0,Celeron,4.0,chrome os,,integrated,intel,,4.4,204.0,64.0
acer,a517-52-75n6,17.3,i7,16.0,windows,fingerprint reader,integrated,,,4.0,699.99,512.0
lenovo,ideapad 3i,15.6,i5,8.0,windows 11,hd,integrated,,,,485.0,512.0
dell,latitude,15.6,i7,16.0,windows 11 pro,information not available,integrated,,,,1499.99,512.0
asus,tp470ea-as34t,14.0,i3,4.0,windows 10 s,fingerprint reader,integrated,,,4.3,460.48,128.0
lg,lg gram,17.0,i7,16.0,windows 11 pro,,integrated,intel iris xe graphics eligible integrated,3.7,,1199.0,512.0
lenovo,ideapad,14.0,Celeron,4.0,windows 11,,integrated,intel,,4.2,220.69,64.0
acer,an16-41-r1we,16.0,Ryzen 7,16.0,windows 11 home,"backlit keyboard, memory card slot",dedicated,,,5.0,1241.46,512.0
lenovo,ideapad3i-14-i5,14.0,i5,8.0,windows 11 home,narrow bezel,integrated,,,4.2,443.0,512.0
hp,"2023 newest hp 14"" chromebook",14.0,Celeron,4.0,chrome os,,integrated,intel uhd graphics 600,,4.2,225.0,64.0
panasonic,panasonic toughbook,14.0,i5,16.0,windows 10,"spill-resistant,stereo",integrated,,,3.6,655.96,1024.0
dell,inspiron,15.6,i5,32.0,windows 11 pro,,integrated,intel uhd graphics,2.4,5.0,689.65,1024.0
asus,"17.3"" chromebook",17.3,Pentium,4.0,chrome os,"chiclet keyboard, 1.5mm key-travel , camera",integrated,,,4.0,246.0,64.0
hp,elitebook 655 g9,15.6,Ryzen 5,16.0,windows 10 pro,anti-glare screen,radeon graphics,amd radeon graphics,,5.0,1137.02,512.0
asus,cxb170ck,17.3,Celeron,4.0,chrome os,anti-glare,integrated,,,4.5,247.36,64.0
acer,an515-58-725a,15.6,i7,16.0,windows 11 home,anti glare coating,dedicated,,,4.6,1199.0,512.0
acer,acer aspire 3,15.6,Ryzen 5,8.0,windows 11 home,,integrated,amd radeon,,4.3,450.0,512.0
asus,s5402za-is74,14.5,i7,12.0,windows 11 home,anti-glare,integrated,,2.3,3.8,689.49,512.0
asus,vivobook s15,15.6,i7,16.0,windows 11,"fingerprint reader, hd audio, backlit keyboard, memory card slot, anti glare coating",integrated,,,5.0,901.56,512.0
asus,vivobook pro 16,16.0,i9,16.0,windows 11 home,,dedicated,nvidia geforce rtx 4060,,4.0,1399.99,512.0
asus,asus chromebook flip cx3,14.0,i7,16.0,chrome os,"backlit keyboard,stylus",integrated,,,3.9,979.99,512.0
asus,vivobook pro 15,15.6,i7,16.0,windows 11 home,"fingerprint reader, hd audio, backlit keyboard, anti glare coating, memory card slot",dedicated,,,5.0,1259.99,512.0
samsung,galaxy book go,14.0,snapdragon,4.0,windows 11 home,anti glare coating,integrated,,,4.3,345.0,128.0
panasonic,cf-31 mk5,13.1,i5,8.0,windows 10,anti-glare,integrated,,,4.1,420.0,240.0
dell,latitude 5000,14.0,i7,16.0,windows 10 pro,anti-glare screen,iris xe graphics,,,4.8,1658.99,512.0
toughbook,panasonic toughbook,13.1,i5,16.0,windows 10 pro,backlit keyboard,integrated,,,4.8,1550.99,256.0
hp,hp probook,11.6,Celeron,4.0,windows 10 pro,,integrated,intel uhd graphics 600,,4.1,245.0,128.0
asus,vivobook pro 16,16.0,i9,16.0,windows 11 home,,dedicated,nvidia geforce rtx 4060,,3.0,1646.99,1024.0
dell,latitude,15.6,i7,16.0,windows 11 pro,anti-glare screen,integrated,intel,,,1109.18,512.0
lenovo,"lenovo ideapad 1 (14"", intel)",14.0,Celeron,4.0,windows 11,anti-glare screen,integrated,,,4.2,195.0,64.0
hp,1a1l3ua,15.6,Ryzen 3,4.0,windows 10 home,hd audio,integrated,amd radeon graphics,,3.8,269.0,1024.0
dell,latitude 5530 laptop,15.6,i7,16.0,windows 11 pro,backlit keyboard,integrated,,,5.0,1349.99,512.0
dell,latitude 3000,14.0,i5,8.0,windows 10 pro,anti-glare screen,iris xe graphics,,,3.9,835.85,256.0
asus,asus chromebook,12.0,MediaTek,4.0,chrome os,,integrated,mali-g72 mp3,,4.2,278.97,32.0
dell,xps 15 9520,15.6,i7,16.0,windows 11 pro,,dedicated,nvidia geforce rtx 3050,,4.8,1576.57,512.0
dell,precision 7000,16.0,i7,32.0,windows 11 pro,anti-glare screen,rtx a1000,nvidia rtx a1000,,,2549.0,512.0
lenovo,"lenovo ideapad gaming 3i 15""",15.6,i7,8.0,windows 11 home,anti glare coating,dedicated,,,4.3,934.0,512.0
acer,acer 315,15.6,Cortex,4.0,chrome os,,integrated,intel uhd graphics 600,,4.3,129.99,64.0
asus,rog strix scar g533z,15.6,i9,32.0,windows 11 pro,"hd audio, backlit keyboard, anti glare coating, numeric keypad",dedicated,,,,2299.0,1024.0
dell,latitude rugged 5430 laptop,14.0,i5,32.0,windows 11 pro,,integrated,intel integrated graphics,,,2023.03,1000.0
asus,chromebook c423,14.0,Celeron,4.0,chrome os,"anti-glare,ultra-narrow bezel",integrated,,,4.9,283.55,64.0
panasonic,cf-53 mk4,14.0,i5,16.0,windows 10 pro,spill-resistant,integrated,,,3.6,658.94,1024.0
alienware,alienware m15 r7,15.6,i7,16.0,windows 11 home,anti glare coating,integrated,,,4.0,1599.0,512.0
dell,precision 5770,17.0,i7,32.0,windows 11 pro,anti-glare,dedicated,nvidia rtx a3000 12gb gddr6,,5.0,2475.0,512.0
apple,macbook air,13.0,apple m1,8.0,mac os,,integrated,,,4.8,1178.0,1024.0
asus,vivobook s 16 flip,16.0,Ryzen 5,8.0,windows 11 home,fingerprint sensor,integrated,,,4.1,699.99,512.0
samsung,galaxy book pro,15.6,i7,16.0,windows 10,hd audio,integrated,,,4.1,1177.42,512.0
hp,laptop 15-ef0021nr,15.6,Ryzen 3,8.0,windows 10 home,,integrated,amd radeon vega 3,,4.4,346.9,256.0
asus,vivobook pro 15x oled,15.6,i7,16.0,windows 11 home,"fingerprint reader, high definition audio, backlit keyboard, memory card slot",dedicated,nvidia geforce rtx 3060,,3.5,1530.63,512.0
asus,asus chromebook cx9,14.0,i7,16.0,chrome os,stylus,integrated,,,3.8,1211.99,512.0
hp,15-dy2035tg,15.6,i3,8.0,windows 10 s,"anti-glare,fingerprint reader",integrated,,,4.3,423.99,256.0
msi,pulse 15 b13vfk-1263us,15.6,i7,32.0,windows 11 pro,,dedicated,nvidia geforce rtx 4060,,3.0,1499.0,1024.0
acer,sf514-56t-797t,14.0,i7,16.0,windows 11 home,,integrated,intel iris xe graphics,,3.9,1406.88,1024.0
asus,expertbook b9,14.0,i7,16.0,windows 11 pro,,integrated,,5.1,,1829.99,512.0
asus,vivobook s15,15.6,i5,8.0,windows 10,nanoedge bezel,,intel iris xe graphics,,4.3,606.15,512.0
